🇨🇳央视频道,#genre#
CCTV7,http://39.134.65.215/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://[2409:8087:1a15:10d1::35]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV7,http://39.135.136.71/wh7f454c46tw3293371197_1600667279/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1749480911&from=5&hms_devid=1142&online=1749480911&vqe=3 
CCTV7,http://111.43.104.93:85/tsfile/live/131/2008_1.m3u8?key=txiptv$黑龙江移动 
CCTV8,http://39.134.67.148/ottrrs.hl.chinamobile.com/hlj/yd/0/3221226008/.m3u8
CCTV8,http://39.134.65.213/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.209/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.196/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.245/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.249/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.251/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.211/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.215/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.66.42:80/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.239/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.200/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.247/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.65.207/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://[2409:8087:1a15:10d1::38]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV8,http://39.134.67.146/wh7f454c46tw3301915697_-628017775/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?icpid=88888888&RTS=1749480920&from=5&hms_devid=979&online=1749480920&vqe=3 
CCTV8,http://111.43.104.93:85/tsfile/live/132/2009_1.m3u8?key=txiptv$黑龙江移动 
